Nom de la demande : Grignon (hourly)
Pas de temps : Horaire
Station(s) : 78615002
latitude : 48.838
longitude : 1.953
altitude : 125 m

VT : DISTANCE PARCOURUE (KILOMETRES)
RR : HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
RG : RAYONNEMENT GLOBAL HORAIRE (JOULES/CM2)
T : TEMPERATURE  INSTANTANEE HORAIRE (DEGRES CELSIUS)
U : HUMIDITE INSTANTANEE  HORAIRE (POURCENTAGE)
PAR_H : RAYONNEMENT PAR (JOULES/CM2)
VX : VITESSE MAXIMALE DU VENT HORAIRE (METRES PAR SECONDE)

date;VT;RR;RG;T;U;PAR_H;VX
2019-06-29 00:00:00;5;0;0;19.9;78;0;2
2019-06-29 01:00:00;4;0;0;19.3;80;0;2
2019-06-29 02:00:00;5;0;0;18.8;82;0;2
2019-06-29 03:00:00;4;0;0;17.9;85;0;2
2019-06-29 04:00:00;5;0;2;17.7;87;0;2
2019-06-29 05:00:00;5;0;14;18.6;85;4;2
2019-06-29 06:00:00;3;0;56;21.7;75;24;2
2019-06-29 07:00:00;5;0;120;24.1;59;50;4
2019-06-29 08:00:00;8;0;182;26.1;51;76;4
2019-06-29 09:00:00;8;0;240;28.5;45;100;4
2019-06-29 10:00:00;8;0;288;30.3;36;120;4
2019-06-29 11:00:00;7;0;322;31.3;33;136;4
2019-06-29 12:00:00;8;0;338;32.3;36;144;4
2019-06-29 13:00:00;8;0;336;33.6;34;142;9
2019-06-29 14:00:00;7;0;318;33.9;33;134;4
2019-06-29 15:00:00;9;0;282;34.4;27;118;6
2019-06-29 16:00:00;8;0;236;34.3;32;98;4
2019-06-29 17:00:00;7;0;172;33.8;37;70;4
2019-06-29 18:00:00;6;0;114;32.6;40;46;4
2019-06-29 19:00:00;4;0;56;29.7;50;20;2
2019-06-29 20:00:00;4;0;12;27.4;54;4;2
2019-06-29 21:00:00;4;0;0;25.3;61;0;2
2019-06-29 22:00:00;4;0;0;24.2;66;0;2
2019-06-29 23:00:00;5;0;0;24.5;63;0;2
