Nom de la demande : Grignon (hourly)
Pas de temps : Horaire
Station(s) : 78615002
latitude : 48.838
longitude : 1.953
altitude : 125 m

VT : DISTANCE PARCOURUE (KILOMETRES)
RR : HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
RG : RAYONNEMENT GLOBAL HORAIRE (JOULES/CM2)
T : TEMPERATURE  INSTANTANEE HORAIRE (DEGRES CELSIUS)
U : HUMIDITE INSTANTANEE  HORAIRE (POURCENTAGE)
PAR_H : RAYONNEMENT PAR (JOULES/CM2)
VX : VITESSE MAXIMALE DU VENT HORAIRE (METRES PAR SECONDE)

date;VT;RR;RG;T;U;PAR_H;VX
2018-10-14 00:00:00;6;0;0;17.2;81;0;3
2018-10-14 01:00:00;4;0;0;17.6;81;0;2
2018-10-14 02:00:00;8;0;0;17.5;82;0;4
2018-10-14 03:00:00;7;0;0;16.8;84;0;4
2018-10-14 04:00:00;6;0;0;16.2;85;0;4
2018-10-14 05:00:00;9;0;0;15.5;84;0;4
2018-10-14 06:00:00;7;0;0;15.6;81;0;4
2018-10-14 07:00:00;11;0;14;16.3;77;6;5
2018-10-14 08:00:00;15;0;50;17.5;72;24;8
2018-10-14 09:00:00;15;0;116;20.1;63;56;8
2018-10-14 10:00:00;15;0;154;21.9;57;74;8
2018-10-14 11:00:00;17;0;166;23;54;82;10
2018-10-14 12:00:00;16;0;182;23.9;52;90;8
2018-10-14 13:00:00;16;0;162;25.1;49;82;8
2018-10-14 14:00:00;13;0;146;26;47;72;8
2018-10-14 15:00:00;13;0;64;24.7;50;34;6
2018-10-14 16:00:00;7;0;44;24.8;52;22;4
2018-10-14 17:00:00;6;0;18;22;60;8;4
2018-10-14 18:00:00;9;0;0;21.8;58;0;6
2018-10-14 19:00:00;12;0;0;21.8;57;0;7
2018-10-14 20:00:00;15;0;0;22.2;55;0;8
2018-10-14 21:00:00;15;0;0;21.3;57;0;8
2018-10-14 22:00:00;15;0;0;20.3;59;0;7
2018-10-14 23:00:00;16;0;0;19.6;61;0;8
