Time;Captor;Temperature;height;ITK
30/11/2011 00:00;T28;NA;0;extensive
30/11/2011 01:00;T28;NA;0;extensive
30/11/2011 02:00;T28;NA;0;extensive
30/11/2011 03:00;T28;NA;0;extensive
30/11/2011 04:00;T28;NA;0;extensive
30/11/2011 05:00;T28;NA;0;extensive
30/11/2011 06:00;T28;NA;0;extensive
30/11/2011 07:00;T28;NA;0;extensive
30/11/2011 08:00;T28;NA;0;extensive
30/11/2011 09:00;T28;NA;0;extensive
30/11/2011 10:00;T28;NA;0;extensive
30/11/2011 11:00;T28;NA;0;extensive
30/11/2011 12:00;T28;NA;0;extensive
30/11/2011 13:00;T28;NA;0;extensive
30/11/2011 14:00;T28;NA;0;extensive
30/11/2011 15:00;T28;NA;0;extensive
30/11/2011 16:00;T28;NA;0;extensive
30/11/2011 17:00;T28;NA;0;extensive
30/11/2011 18:00;T28;NA;0;extensive
30/11/2011 19:00;T28;NA;0;extensive
30/11/2011 20:00;T28;NA;0;extensive
30/11/2011 21:00;T28;NA;0;extensive
30/11/2011 22:00;T28;NA;0;extensive
30/11/2011 23:00;T28;NA;0;extensive
01/12/2011 00:00;T28;NA;0;extensive
01/12/2011 01:00;T28;NA;0;extensive
01/12/2011 02:00;T28;NA;0;extensive
01/12/2011 03:00;T28;NA;0;extensive
01/12/2011 04:00;T28;NA;0;extensive
01/12/2011 05:00;T28;NA;0;extensive
01/12/2011 06:00;T28;NA;0;extensive
01/12/2011 07:00;T28;NA;0;extensive
01/12/2011 08:00;T28;NA;0;extensive
01/12/2011 09:00;T28;NA;0;extensive
01/12/2011 10:00;T28;NA;0;extensive
01/12/2011 11:00;T28;NA;0;extensive
01/12/2011 12:00;T28;NA;0;extensive
01/12/2011 13:00;T28;NA;0;extensive
01/12/2011 14:00;T28;NA;0;extensive
01/12/2011 15:00;T28;NA;0;extensive
01/12/2011 16:00;T28;NA;0;extensive
01/12/2011 17:00;T28;NA;0;extensive
01/12/2011 18:00;T28;NA;0;extensive
01/12/2011 19:00;T28;NA;0;extensive
01/12/2011 20:00;T28;NA;0;extensive
01/12/2011 21:00;T28;NA;0;extensive
01/12/2011 22:00;T28;NA;0;extensive
01/12/2011 23:00;T28;NA;0;extensive
02/12/2011 00:00;T28;NA;0;extensive
02/12/2011 01:00;T28;NA;0;extensive
02/12/2011 02:00;T28;NA;0;extensive
02/12/2011 03:00;T28;NA;0;extensive
02/12/2011 04:00;T28;NA;0;extensive
02/12/2011 05:00;T28;NA;0;extensive
02/12/2011 06:00;T28;NA;0;extensive
02/12/2011 07:00;T28;NA;0;extensive
02/12/2011 08:00;T28;NA;0;extensive
02/12/2011 09:00;T28;NA;0;extensive
02/12/2011 10:00;T28;NA;0;extensive
02/12/2011 11:00;T28;NA;0;extensive
02/12/2011 12:00;T28;NA;0;extensive
02/12/2011 13:00;T28;NA;0;extensive
02/12/2011 14:00;T28;NA;0;extensive
02/12/2011 15:00;T28;NA;0;extensive
02/12/2011 16:00;T28;NA;0;extensive
02/12/2011 17:00;T28;NA;0;extensive
02/12/2011 18:00;T28;NA;0;extensive
02/12/2011 19:00;T28;NA;0;extensive
02/12/2011 20:00;T28;NA;0;extensive
02/12/2011 21:00;T28;NA;0;extensive
02/12/2011 22:00;T28;NA;0;extensive
02/12/2011 23:00;T28;NA;0;extensive
03/12/2011 00:00;T28;NA;0;extensive
03/12/2011 01:00;T28;NA;0;extensive
03/12/2011 02:00;T28;NA;0;extensive
03/12/2011 03:00;T28;NA;0;extensive
03/12/2011 04:00;T28;NA;0;extensive
03/12/2011 05:00;T28;NA;0;extensive
03/12/2011 06:00;T28;NA;0;extensive
03/12/2011 07:00;T28;NA;0;extensive
03/12/2011 08:00;T28;NA;0;extensive
03/12/2011 09:00;T28;NA;0;extensive
03/12/2011 10:00;T28;NA;0;extensive
03/12/2011 11:00;T28;NA;0;extensive
03/12/2011 12:00;T28;NA;0;extensive
03/12/2011 13:00;T28;NA;0;extensive
03/12/2011 14:00;T28;NA;0;extensive
03/12/2011 15:00;T28;NA;0;extensive
03/12/2011 16:00;T28;NA;0;extensive
03/12/2011 17:00;T28;NA;0;extensive
03/12/2011 18:00;T28;NA;0;extensive
03/12/2011 19:00;T28;NA;0;extensive
03/12/2011 20:00;T28;NA;0;extensive
03/12/2011 21:00;T28;NA;0;extensive
03/12/2011 22:00;T28;NA;0;extensive
03/12/2011 23:00;T28;NA;0;extensive
04/12/2011 00:00;T28;NA;0;extensive
04/12/2011 01:00;T28;NA;0;extensive
04/12/2011 02:00;T28;NA;0;extensive
04/12/2011 03:00;T28;NA;0;extensive
04/12/2011 04:00;T28;NA;0;extensive
04/12/2011 05:00;T28;NA;0;extensive
04/12/2011 06:00;T28;NA;0;extensive
04/12/2011 07:00;T28;NA;0;extensive
04/12/2011 08:00;T28;NA;0;extensive
04/12/2011 09:00;T28;NA;0;extensive
04/12/2011 10:00;T28;NA;0;extensive
04/12/2011 11:00;T28;NA;0;extensive
04/12/2011 12:00;T28;NA;0;extensive
04/12/2011 13:00;T28;NA;0;extensive
04/12/2011 14:00;T28;NA;0;extensive
04/12/2011 15:00;T28;NA;0;extensive
04/12/2011 16:00;T28;NA;0;extensive
04/12/2011 17:00;T28;NA;0;extensive
04/12/2011 18:00;T28;NA;0;extensive
04/12/2011 19:00;T28;NA;0;extensive
04/12/2011 20:00;T28;NA;0;extensive
04/12/2011 21:00;T28;NA;0;extensive
04/12/2011 22:00;T28;NA;0;extensive
04/12/2011 23:00;T28;NA;0;extensive
05/12/2011 00:00;T28;NA;0;extensive
05/12/2011 01:00;T28;NA;0;extensive
05/12/2011 02:00;T28;NA;0;extensive
05/12/2011 03:00;T28;NA;0;extensive
05/12/2011 04:00;T28;NA;0;extensive
05/12/2011 05:00;T28;NA;0;extensive
05/12/2011 06:00;T28;NA;0;extensive
05/12/2011 07:00;T28;NA;0;extensive
05/12/2011 08:00;T28;NA;0;extensive
05/12/2011 09:00;T28;NA;0;extensive
05/12/2011 10:00;T28;NA;0;extensive
05/12/2011 11:00;T28;NA;0;extensive
05/12/2011 12:00;T28;NA;0;extensive
