#  Source: Infos_pour_Pierre_Martre_donnees_archi_2011-2012.xlsx
date;treatment;avg;sd
2012-02-17;extensive;13.922;3.456381055
2012-02-17;intensive;20.995;1.557230448
2012-03-08;extensive;16.03;2.592540581
2012-03-08;intensive;19.41333333;0.677150894
2012-03-15;extensive;19.6025;0.200395442
2012-03-15;intensive;23.26666667;0.752484773
2012-03-21;extensive;22.915;1.649898987
2012-03-21;intensive;25.925;2.11629393
2012-03-30;extensive;24.3325;2.42245571
2012-03-30;intensive;31.52;1.235394674
2012-04-13;extensive;36.46;1.890631036
2012-04-13;intensive;45.67285714;1.662476101
2012-04-20;extensive;36.155;2.097202218
2012-04-20;intensive;47.91333333;1.382741841
2012-04-30;extensive;37.445;2.211870572
2012-04-30;intensive;80.395;4.285380463
2012-05-07;extensive;42.918;4.403262427
2012-05-07;intensive;86.53125;2.73306441
2012-05-14;extensive;40.07;2.719968487
2012-05-14;intensive;84.24;1.726813746
2012-05-29;extensive;42.685;3.534361935
2012-05-29;intensive;83.93111111;3.21130209
