#  Source: Infos_pour_Pierre_Martre_donnees_archi_2011-2012.xlsx
# Surfaces en cm2
# SF: Surface des limbes
# Strate: Surface strate = surface exposée (i.e. 1/2 surface développée)
# Le numéro de phytomère (numérotation en partant du sommet de l’axe)
# strate3: entre ligules 3 et 4; strate2 ligules 2 et 3, etc.
date;treatment;repetition;SF1;SF2;SF3;SF4;Strate3;Strate2;Strate1;Strate0;Epi
2012-06-04;extensive;1;16.83;22.91;20.97;17.9;8.16;8.58;8.92;3.2;13.62
2012-06-04;extensive;2;13.23;25.11;23.54;17.39;6.78;9.05;10.89;1.37;15.09
2012-06-04;extensive;3;14.61;22.06;21.52;20.04;8.73;9.7;11.77;2.24;15.69
2012-06-04;extensive;4;17.14;24.62;23.01;15.62;7.91;10.84;9.64;1.78;14.63
2012-06-04;extensive;5;13.83;27.66;24.7;13.85;6.72;8.09;13.59;1.78;14.81
2012-06-04;extensive;6;15.34;21.22;21.86;17.76;7.69;10.84;11.27;2.33;15.15
2012-06-04;extensive;7;12.16;18.17;18.02;17.17;4.7;8.13;11.82;2.36;14.18
2012-06-04;extensive;8;13.38;19.68;17.75;17.61;7.54;11.55;11.45;1.9;16.1
2012-06-04;extensive;9;14.69;23.31;22.82;18.52;7.85;10.69;10.95;1.88;15.44
2012-06-04;extensive;10;15.27;22.32;24.55;7.86;6.76;9.57;10.56;2.17;13.81
2012-06-04;extensive;11;13.83;20.58;18.35;9.59;9.24;11.62;12.5;1.81;16.66
2012-06-04;extensive;12;19.32;20.45;15.68;15.18;8;11.52;11.37;2.3;16.67
2012-06-04;extensive;13;11.36;17.16;18.33;17.18;7.54;11.91;11.76;2.49;15.22
2012-06-04;extensive;14;15.04;20.79;20.81;14.61;7.27;9.39;10.63;1.85;14.26
2012-06-04;extensive;15;10.67;17.71;20.62;15.71;6.49;8.58;9.95;1.6;13.18
2012-06-01;intensive;1;24.62;28.13;20.79;15.44;8.81;11.78;13.96;2.3;15.84
2012-06-01;intensive;2;30.25;32.59;20.68;8.22;10.39;9.18;10.83;3.61;13.37
2012-06-01;intensive;3;29.15;33.16;19.08;16.74;9.25;11.07;11.44;2.82;14.88
2012-06-01;intensive;4;21.8;25.56;22.65;19.24;9.8;10.85;12.24;2.8;15.78
2012-06-01;intensive;5;25.19;27.49;24.3;16.52;10.67;11.16;12.09;3.1;15.74
2012-06-01;intensive;6;27.44;27.66;19.71;18.24;11.68;11.66;13.26;4.33;16.67
2012-06-01;intensive;7;24.36;29.4;22.44;13.82;10.5;11.22;12.25;3.53;15.08
2012-06-01;intensive;8;21.31;25.42;21.66;14.63;10.59;10.26;12.15;2.68;15.59
2012-06-01;intensive;9;28.93;31.26;21.72;12.3;10.74;10.11;11.14;2.9;14.42
2012-06-01;intensive;10;26.78;26.3;15.47;8.57;9.52;10.78;12.32;2.35;14.15
2012-06-01;intensive;11;24.84;31.36;25.59;16.4;9.45;11.46;15.14;2.16;15.55
2012-06-01;intensive;12;29.93;35.8;30.03;15.63;8.79;10.76;11.43;2.73;14.76
2012-06-01;intensive;13;28.06;36.84;31.43;21.96;8.51;10.56;14.45;3.39;15.14
2012-06-01;intensive;14;29.78;36.21;27.52;17.64;9.08;10.55;13.19;2.38;13.82
2012-06-01;intensive;15;33.52;38.09;30.11;18.34;8.25;10.34;11.7;2.17;15.41
