Nom de la demande : Donnnée_Horraires;;;;;;;;;;;;;;;;;;
Pas de temps : Horaire;;;;;;;;;;;;;;;;;;
Date de début : 01/11/2011;;;;;;;;;;;;;;;;;;
Date de fin : 30/09/2012;;;;;;;;;;;;;;;;;;
Station(s) : 78615002;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
PAR_H : RAYONNEMENT PAR (JOULES/CM2);;;;;;;;;;;;;;;;;;
P : PRESSION ATMOSPHERIQUE HORAIRE (HECTO-PASCAL);;;;;;;;;;;;;;;;;;
VT : DISTANCE PARCOURUE (KILOMETRES);;;;;;;;;;;;;;;;;;
DI : DUREE D'INSOLATION HORAIRE (HEURES ET DIXIEMES);;;;;;;;;;;;;;;;;;
H : DUREE HUMECTATION HORAIRE (HEURES ET DIXIEMES);;;;;;;;;;;;;;;;;;
HO : HAUTEUR D'EAU (MILLIMETRES);;;;;;;;;;;;;;;;;;
RR : HAUTEUR DES PRECIPITATIONS (MILLIMETRES);;;;;;;;;;;;;;;;;;
U : HUMIDITE INSTANTANEE  HORAIRE (POURCENTAGE);;;;;;;;;;;;;;;;;;
I5 : INDICE ACTINOTHERMIQUE A 50 CM (DEGRES CELSIUS);;;;;;;;;;;;;;;;;;
RG : RAYONNEMENT GLOBAL HORAIRE (JOULES/CM2);;;;;;;;;;;;;;;;;;
T : TEMPERATURE  INSTANTANEE HORAIRE (DEGRES CELSIUS);;;;;;;;;;;;;;;;;;
U8 : TEMPS PENDANT LEQUEL :  80%<HUMIDITE< 90% SUR L'HEURE (HEURES ET DIXIEMES);;;;;;;;;;;;;;;;;;
U9 : TEMPS PENDANT LEQUEL : HUMIDITE >90% SUR L'HEURE (HEURES ET DIXIEMES);;;;;;;;;;;;;;;;;;
VX : VITESSE MAXIMALE DU VENT HORAIRE (METRES PAR SECONDE);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
NUM_POSTE;AN;MOIS;JOUR;HEURE;PAR_H;P;VT;DI;H;HO;RR;U;I5;RG;T;U8;U9;VX
78615002;2011;11;1;1;0;;10;;0;;0;82;12.1;0;12.4;1;0;6
78615002;2011;11;1;2;0;;12;;0;;0;81;12.2;0;12.6;1;0;7
78615002;2011;11;1;3;0;;11;;0;;0;85;11.3;0;11.8;1;0;6
78615002;2011;11;1;4;0;;6;;0;;0;90;9.4;0;10.6;1;0;4
78615002;2011;11;1;5;0;;4;;0;;0;91;9.6;0;10.5;0.5;0.5;3
78615002;2011;11;1;6;0;;8;;0;;0;93;9.6;0;10.1;0;1;4
78615002;2011;11;1;7;0;;8;;0;;0;93;10.2;2;10.4;0;1;4
78615002;2011;11;1;8;10;;8;;0;;0;91;11.2;20;10.9;0;1;4
78615002;2011;11;1;9;30;;6;;0;;0;87;12.9;60;12.3;0.8;0.2;4
78615002;2011;11;1;10;14;;8;;0;;0;89;12.2;30;11.9;1;0;4
78615002;2011;11;1;11;8;;7;;0.7;;3.5;95;11.3;12;11.6;0.4;0.6;6
78615002;2011;11;1;12;10;;8;;1;;2.5;96;11.7;18;11.9;0;1;4
78615002;2011;11;1;13;12;;6;;1;;0.5;95;12.3;24;12.4;0;1;3
78615002;2011;11;1;14;20;;5;;1;;0.5;94;12.8;38;12.7;0;1;2
78615002;2011;11;1;15;14;;8;;1;;0;93;13.4;32;13.1;0;1;4
78615002;2011;11;1;16;14;;7;;1;;0;93;12.2;30;12.6;0.1;0.9;4
78615002;2011;11;1;17;2;;2;;1;;0;95;10.2;2;11.8;0;1;2
78615002;2011;11;1;18;0;;3;;1;;0;97;9.5;0;10.8;0;1;2
78615002;2011;11;1;19;0;;3;;1;;0;97;9.5;0;10.7;0;1;2
78615002;2011;11;1;20;0;;2;;1;;0;98;8.2;0;9.9;0;1;2
78615002;2011;11;1;21;0;;1;;1;;0;98;7.9;0;9.4;0;1;1
78615002;2011;11;1;22;0;;3;;1;;0;98;7.6;0;8.7;0;1;2
78615002;2011;11;1;23;0;;2;;1;;0;98;7.1;0;8.7;0;1;1
78615002;2011;11;1;24;0;;4;;1;;0;97;5.7;0;6.9;0;1;2
78615002;2011;11;2;1;0;;4;;1;;0;98;5.2;0;6.6;0;1;2
78615002;2011;11;2;2;0;;5;;1;;0;98;5.2;0;6.1;0;1;2
78615002;2011;11;2;3;0;;6;;1;;0;98;6.2;0;6.4;0;1;3
78615002;2011;11;2;4;0;;9;;1;;0;98;6.6;0;6.7;0;1;4
78615002;2011;11;2;5;0;;9;;1;;0.5;99;7.7;0;7.9;0;1;4
