Nom de la demande : Grignon (hourly)
Pas de temps : Horaire
Station(s) : 78615002
latitude : 48.838
longitude : 1.953
altitude : 125 m

VT : DISTANCE PARCOURUE (KILOMETRES)
RR : HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
RG : RAYONNEMENT GLOBAL HORAIRE (JOULES/CM2)
T : TEMPERATURE  INSTANTANEE HORAIRE (DEGRES CELSIUS)
U : HUMIDITE INSTANTANEE  HORAIRE (POURCENTAGE)
PAR_H : RAYONNEMENT PAR (JOULES/CM2)
VX : VITESSE MAXIMALE DU VENT HORAIRE (METRES PAR SECONDE)

date;VT;RR;RG;T;U;PAR_H;VX
2018-04-23 00:00:00;8;0;0;14.7;81;0;6
2018-04-23 01:00:00;4;0;0;12.2;89;0;3
2018-04-23 02:00:00;5;0;0;12.2;89;0;2
2018-04-23 03:00:00;4;0;0;11.6;84;0;2
2018-04-23 04:00:00;6;0;0;11.4;78;0;4
2018-04-23 05:00:00;7;0;0;11.1;84;0;4
2018-04-23 06:00:00;9;0;12;10.8;91;6;6
2018-04-23 07:00:00;8;0;40;11.3;90;20;4
2018-04-23 08:00:00;7;0;56;12.1;87;28;4
2018-04-23 09:00:00;9;0;76;12.9;84;38;4
2018-04-23 10:00:00;8;0;180;14.6;78;92;4
2018-04-23 11:00:00;11;0;314;16.3;69;158;6
2018-04-23 12:00:00;12;0;226;16.2;67;114;7
2018-04-23 13:00:00;12;0;304;17.4;62;152;7
2018-04-23 14:00:00;12;0;246;17.4;63;124;6
2018-04-23 15:00:00;11;0;208;17.1;63;104;6
2018-04-23 16:00:00;10;0;164;17.1;61;80;6
2018-04-23 17:00:00;10;0;106;16.6;64;52;5
2018-04-23 18:00:00;9;0;62;15.7;65;30;5
2018-04-23 19:00:00;5;0;10;13.8;72;4;3
2018-04-23 20:00:00;5;0;0;12.4;78;0;2
2018-04-23 21:00:00;5;0;0;10.9;83;0;4
2018-04-23 22:00:00;3;0;0;9.3;89;0;2
2018-04-23 23:00:00;3;0;0;9;91;0;1
