Nom de la demande : Grignon (hourly)
Pas de temps : Horaire
Station(s) : 78615002
latitude : 48.838
longitude : 1.953
altitude : 125 m

VT : DISTANCE PARCOURUE (KILOMETRES)
RR : HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
RG : RAYONNEMENT GLOBAL HORAIRE (JOULES/CM2)
T : TEMPERATURE  INSTANTANEE HORAIRE (DEGRES CELSIUS)
U : HUMIDITE INSTANTANEE  HORAIRE (POURCENTAGE)
PAR_H : RAYONNEMENT PAR (JOULES/CM2)
VX : VITESSE MAXIMALE DU VENT HORAIRE (METRES PAR SECONDE)

date;VT;RR;RG;T;U;PAR_H;VX
2018-02-27 00:00:00;16;0;0;-5;70;0;8
2018-02-27 01:00:00;16;0;0;-5.2;68;0;8
2018-02-27 02:00:00;14;0;0;-5.8;73;0;7
2018-02-27 03:00:00;11;0;0;-6.2;78;0;6
2018-02-27 04:00:00;12;0;0;-6.7;82;0;6
2018-02-27 05:00:00;10;0;0;-6.7;83;0;5
2018-02-27 06:00:00;9;0;0;-7.1;87;0;4
2018-02-27 07:00:00;10;0;2;-6.8;87;0;5
2018-02-27 08:00:00;11;0;34;-5.6;85;14;5
2018-02-27 09:00:00;15;0;44;-5.6;84;20;8
2018-02-27 10:00:00;14;0;66;-4.7;79;32;6
2018-02-27 11:00:00;14;0;78;-3.8;71;38;6
2018-02-27 12:00:00;16;0;160;-3.4;59;76;7
2018-02-27 13:00:00;15;0;144;-2.3;66;68;8
2018-02-27 14:00:00;15;0;154;-2.9;64;72;7
2018-02-27 15:00:00;17;0;96;-2.7;59;46;8
2018-02-27 16:00:00;14;0;28;-3.7;59;14;7
2018-02-27 17:00:00;8;0;38;-3.1;52;16;5
2018-02-27 18:00:00;8;0;4;-4.6;58;2;4
2018-02-27 19:00:00;6;0;0;-5.5;61;0;3
2018-02-27 20:00:00;5;0;0;-6.3;67;0;2
2018-02-27 21:00:00;6;0;0;-6.5;70;0;3
2018-02-27 22:00:00;7;0;0;-7.1;72;0;2
2018-02-27 23:00:00;5;0;0;-7.3;74;0;2
