# Year (YYYY)
# DOY (DDD)
# Hour(h)
# T [°C]
# Rain [mm h-1]
# Radiation [MJ m-2]
# Wind [m s-1]
# Vapour presure [hPa]
# latitude: 33.069
# longitude: -111.9826
# elevation: 361

Year;DOY;Hour;T;Rain;Radiation;Wind;Vapour Pressure
1994;107;24;18;0;0;1.286111111;7.417832417
1994;108;1;17.3;0;0;0.955555556;6.426265041
1994;108;2;15.3;0;0;1.080555556;8.19002976
1994;108;3;14.7;0;0;1.025;6.614636135
1994;108;4;13.2;0;0;0.911111111;6.152595525
1994;108;5;12.4;0;0;0.813888889;6.56709164
1994;108;6;13.6;0;0;0.536111111;6.063690521
1994;108;7;13.2;0;0.26;0.733333333;7.740526523
1994;108;8;17.5;0;1.01;0.383333333;9.095274628
1994;108;9;21.6;0;1.2;1.302777778;7.850810927
1994;108;10;23.7;0;1.68;0.772222222;8.907478687
1994;108;11;25.3;0;1.61;0.925;9.949998101
1994;108;12;26.8;0;1.52;0.894444444;8.018837792
1994;108;13;29.3;0;2.41;0.541666667;8.723109603
1994;108;14;31.4;0;3.09;1.116666667;7.524051826
1994;108;15;31.8;0;1.8;0.888888889;6.33386994
1994;108;16;31.6;0;1.54;0.975;8.075547599
1994;108;17;31.4;0;1.12;1.302777778;6.288114285
1994;108;18;30.6;0;0.58;0.875;6.956051043
1994;108;19;30.4;0;0.18;0.608333333;5.119976424
1994;108;20;25.3;0;0;1.2;7.312939102
1994;108;21;22.3;0;0;0.725;9.286551841
1994;108;22;19.8;0;0;1.047222222;7.158054443
1994;108;23;18.1;0;0;0.863888889;7.158054443
